Date,Ticker,Action,Price,Shares,Value
2011-04-04,20099,SELL,62.870000000000005,115,7230.05
2011-04-04,20883,SELL,159.9975,59,9439.8525
2011-04-04,25386,BUY,117.8125,2,235.625
2011-04-04,27266,SELL,110.63499999999998,184,20356.839999999997
2011-04-04,27738,SELL,131.315,4,525.26
2011-04-04,28293,BUY,323.17,1,323.17
2011-04-04,37500,SELL,7.512500000000001,501,3763.7625000000007
2011-04-06,60,BUY,209.0612867,284,59373.4054228
2011-04-06,1520,SELL,105.05000000000001,271,28468.550000000003
2011-04-07,151,SELL,126.27,229,28915.829999999998
2011-04-11,155,BUY,46.85,1333,62451.05
2011-04-11,208,BUY,93.3,988,92180.4
2011-04-11,446,SELL,181.87,1094,198965.78
2011-04-11,541,BUY,155.0125,509,78901.36249999999
2011-04-11,1016,BUY,192.57500000000002,357,68749.27500000001
2011-04-11,1520,BUY,103.4875,952,98520.09999999999
2011-04-11,2096,SELL,3682.925,55,202560.875
2011-04-11,2296,SELL,1091.5825,167,182294.2775
2011-04-11,2722,BUY,59.0225,1821,107479.9725
2011-04-11,3546,BUY,8.01,7254,58104.54
2011-04-11,4325,BUY,225.3625,321,72341.3625
2011-04-11,5400,BUY,591.1075000000001,137,80981.72750000001
2011-04-11,6367,BUY,117.32000000000001,793,93034.76000000001
2011-04-11,8021,BUY,330.695,107,35384.365
2011-04-11,12019,BUY,357.4,637,227663.8
2011-04-11,12521,BUY,1745.3625000000002,24,41888.700000000004
2011-04-11,16795,BUY,91.075,677,61657.775
2011-04-11,19611,BUY,13.177499999999998,4269,56254.74749999999
2011-04-11,19961,BUY,325.46000000000004,156,50771.76000000001
2011-04-11,20099,BUY,64.28999999999999,965,62039.84999999999
